Date,Open,High,Low,Close,Adj Close,Volume
2024-01-05,129.440002,134.259995,129.009995,132.419998,131.277985,3511500
2024-01-08,131.449997,133.809998,130.789993,133.710007,132.556885,2624700
2024-01-09,131.990005,133.470001,131.250000,132.929993,131.783585,2599900
2024-01-10,131.279999,131.539993,127.410004,128.940002,127.828011,3669300
2024-01-11,128.919998,128.919998,126.739998,128.339996,127.233170,2008100
2024-01-12,128.619995,129.339996,126.730003,127.699997,126.598694,2288600
2024-01-16,126.900002,128.029999,126.070000,127.519997,126.420250,2762600
2024-01-17,125.540001,127.570000,125.129997,126.080002,124.992668,2384500
2024-01-18,124.919998,125.510002,123.230003,124.919998,123.842667,2919900
2024-01-19,125.849998,128.490005,124.739998,127.980003,126.876289,2981400
2024-01-22,128.850006,131.500000,128.559998,129.679993,128.561615,3726200
2024-01-23,130.179993,130.300003,129.089996,129.759995,128.640930,2163800
2024-01-24,130.589996,132.300003,130.050003,131.089996,129.959473,2583100
2024-01-25,132.339996,134.000000,131.809998,132.550003,131.406860,4207400
2024-01-26,132.550003,139.479996,132.550003,138.720001,137.523651,5350300
2024-01-29,139.639999,140.860001,136.949997,138.479996,137.285721,2656400
2024-01-30,138.369995,139.190002,137.970001,138.610001,137.414612,1777800
2024-01-31,137.110001,138.630005,135.000000,135.320007,134.152985,2192200
2024-02-01,135.360001,136.589996,132.149994,134.559998,133.399536,2016800
2024-02-02,134.039993,137.250000,133.029999,136.479996,135.302979,2128100
2024-02-05,135.020004,135.720001,133.899994,135.240005,134.073669,1810200
2024-02-06,134.779999,135.449997,133.029999,134.350006,133.191360,1567500
2024-02-07,134.850006,135.130005,132.309998,133.970001,132.814621,1445600
2024-02-08,133.889999,135.529999,132.500000,135.380005,134.212463,1567500
2024-02-09,135.110001,135.500000,133.350006,135.169998,134.600815,1353500
2024-02-12,135.600006,138.029999,134.820007,137.479996,136.901093,1522300
2024-02-13,135.139999,135.139999,132.389999,133.529999,132.967728,2133200
2024-02-14,134.949997,135.210007,133.270004,135.110001,134.541077,1271900
2024-02-15,135.770004,137.210007,135.380005,136.360001,135.785812,1527000
2024-02-16,136.009995,138.009995,135.130005,137.229996,136.652145,1626700
2024-02-20,130.830002,138.949997,129.690002,137.389999,136.811478,16526500
2024-02-21,136.059998,136.750000,134.070007,135.009995,134.441498,6491400
2024-02-22,134.750000,136.279999,134.320007,134.559998,133.993393,4344100
2024-02-23,135.389999,136.539993,134.350006,135.520004,134.949356,3092500
2024-02-26,134.970001,136.990005,134.389999,134.490005,133.923691,2172600
2024-02-27,135.309998,137.070007,134.210007,136.820007,136.243881,3131000
2024-02-28,136.330002,138.309998,136.250000,137.619995,137.040497,2947300
2024-02-29,138.419998,138.419998,136.160004,137.610001,137.030548,3643500
2024-03-01,137.720001,137.910004,135.940002,136.770004,136.194092,2251800
2024-03-04,136.339996,137.309998,135.800003,135.990005,135.417374,2589600
2024-03-05,134.600006,139.949997,134.600006,137.559998,136.980759,3313700
2024-03-06,137.690002,138.100006,135.080002,135.740005,135.168427,2182400
2024-03-07,136.500000,138.179993,136.350006,137.649994,137.070374,1594000
2024-03-08,138.000000,138.919998,136.759995,137.229996,136.652145,1960000
2024-03-11,136.970001,138.589996,135.960007,138.460007,137.876968,2001100
2024-03-12,139.000000,140.470001,138.160004,140.270004,139.679352,2262900
2024-03-13,140.470001,141.169998,139.779999,140.610001,140.017914,1974800
2024-03-14,140.289993,141.139999,138.199997,139.429993,138.842880,2248400
2024-03-15,137.100006,139.910004,135.339996,135.550003,134.979218,4262000
2024-03-18,136.000000,136.839996,135.130005,136.270004,135.696198,2799200
2024-03-19,136.570007,137.910004,136.250000,136.850006,136.273758,2282100
2024-03-20,136.460007,141.800003,135.889999,141.770004,141.173035,2341000
